!         xpos (m)          ypos (m)          Va (m/s)       alpha (deg)       
         -55833.37          2097.6336           130.2900             5.0000
         -55630.98          2097.6336           129.5116             5.0000
         -55429.80          2097.6336           128.7331             5.0000
         -55229.84          2097.6336           127.9547             5.0000
         -55031.08          2097.6336           127.1762             5.0000
         -54833.53          2097.6336           126.3978             5.0000
         -54637.19          2097.6336           125.6193             5.0000
         -54442.07          2097.6336           124.8409             5.0000
         -54248.16          2097.6336           124.0624             5.0000
         -54055.46          2097.6336           123.2840             5.0000
         -53863.97          2097.6336           122.5055             5.0000
         -53673.68          2097.6336           121.7271             5.0000
         -53484.61          2097.6336           120.9486             5.0000
         -53296.76          2097.6336           120.1702             5.0000
         -53110.11          2097.6336           119.3918             5.0000
         -52924.67          2097.6336           118.6133             5.0000
         -52740.44          2097.6336           117.8349             5.0000
         -52557.43          2097.6336           117.0564             5.0000
         -52375.62          2097.6336           116.2780             5.0000
         -52195.03          2097.6336           115.4995             5.0000
         -52015.65          2097.6336           114.7211             5.0000
         -51837.47          2097.6336           113.9426             5.0000
         -51660.51          2097.6336           113.1642             5.0000
         -51484.75          2097.6336           112.3857             5.0000
         -51310.22          2097.6336           111.6073             5.0000
         -51136.89          2097.6336           110.8288             5.0000
         -50964.83          2091.4173           110.5874             5.0000
         -50792.89          2082.4065           110.5874             5.0000
         -50620.95          2073.3957           110.5874             5.0000
         -50449.02          2064.3849           110.5874             5.0000
         -50277.08          2055.3740           110.5874             5.0000
         -50105.14          2046.3632           110.5874             5.0000
         -49933.21          2037.3524           110.5874             5.0000
         -49761.27          2028.3416           110.5874             5.0000
         -49589.33          2019.3307           110.5874             5.0000
         -49417.40          2010.3199           110.5874             5.0000
         -49245.46          2001.3091           110.5874             5.0000
         -49073.52          1992.2983           110.5874             5.0000
         -48901.59          1983.2875           110.5874             5.0000
         -48729.65          1974.2766           110.5874             5.0000
         -48557.71          1965.2658           110.5874             5.0000
         -48385.78          1956.2550           110.5874             5.0000
         -48213.84          1947.2442           110.5874             5.0000
         -48041.90          1938.2333           110.5874             5.0000
         -47869.97          1929.2225           110.5874             5.0000
         -47698.03          1920.2117           110.5874             5.0000
         -47526.09          1911.2009           110.5874             5.0000
         -47354.16          1902.1900           110.5874             5.0000
         -47182.22          1893.1792           110.5874             5.0000
         -47010.28          1884.1684           110.5874             5.0000
         -46838.35          1875.1576           110.5874             5.0000
         -46666.41          1866.1468           110.5874             5.0000
         -46494.47          1857.1359           110.5874             5.0000
         -46322.54          1848.1251           110.5874             5.0000
         -46150.60          1839.1143           110.5874             5.0000
         -45978.66          1830.1035           110.5874             5.0000
         -45806.73          1821.0926           110.5874             5.0000
         -45634.79          1812.0818           110.5874             5.0000
         -45462.85          1803.0710           110.5874             5.0000
         -45290.92          1794.0602           110.5874             5.0000
         -45118.98          1785.0494           110.5874             5.0000
         -44947.04          1776.0385           110.5874             5.0000
         -44775.11          1767.0277           110.5874             5.0000
         -44603.17          1758.0169           110.5874             5.0000
         -44431.23          1749.0061           110.5874             5.0000
         -44259.30          1739.9952           110.5874             5.0000
         -44087.36          1730.9844           110.5874             5.0000
         -43915.42          1721.9736           110.5874             5.0000
         -43743.49          1712.9628           110.5874             5.0000
         -43571.55          1703.9520           110.5874             5.0000
         -43399.61          1694.9411           110.5874             5.0000
         -43227.68          1685.9303           110.5874             5.0000
         -43055.74          1676.9195           110.5874             5.0000
         -42883.80          1667.9087           110.5874             5.0000
         -42711.86          1658.8978           110.5874             5.0000
         -42539.93          1649.8870           110.5874             5.0000
         -42367.99          1640.8762           110.5874             5.0000
         -42196.05          1631.8654           110.5874             5.0000
         -42024.12          1622.8546           110.5874             5.0000
         -41852.18          1613.8437           110.5874             5.0000
         -41680.24          1604.8329           110.5874             5.0000
         -41508.31          1595.8221           110.5874             5.0000
         -41336.37          1586.8113           110.5874             5.0000
         -41164.43          1577.8004           110.5874             5.0000
         -40992.50          1568.7896           110.5874             5.0000
         -40820.56          1559.7788           110.5874             5.0000
         -40648.62          1550.7680           110.5874             5.0000
         -40476.69          1541.7572           110.5874             5.0000
         -40304.75          1532.7463           110.5874             5.0000
         -40132.81          1523.7355           110.5874             5.0000
         -39960.88          1514.7247           110.5874             5.0000
         -39788.94          1505.7139           110.5874             5.0000
         -39617.00          1496.7030           110.5874             5.0000
         -39445.07          1487.6922           110.5874             5.0000
         -39273.13          1478.6814           110.5874             5.0000
         -39101.19          1469.6706           110.5874             5.0000
         -38929.26          1460.6598           110.5874             5.0000
         -38757.32          1451.6489           110.5874             5.0000
         -38585.38          1442.6381           110.5874             5.0000
         -38413.45          1433.6273           110.5874             5.0000
         -38241.51          1424.6165           110.5874             5.0000
         -38069.57          1415.6056           110.5874             5.0000
         -37897.64          1406.5948           110.5874             5.0000
         -37725.70          1397.5840           110.5874             5.0000
         -37553.76          1388.5732           110.5874             5.0000
         -37381.83          1379.5624           110.5874             5.0000
         -37209.89          1370.5515           110.5874             5.0000
         -37037.95          1361.5407           110.5874             5.0000
         -36866.02          1352.5299           110.5874             5.0000
         -36694.08          1343.5191           110.5874             5.0000
         -36522.14          1334.5082           110.5874             5.0000
         -36350.21          1325.4974           110.5874             5.0000
         -36178.27          1316.4866           110.5874             5.0000
         -36006.33          1307.4758           110.5874             5.0000
         -35834.40          1298.4650           110.5874             5.0000
         -35662.46          1289.4541           110.5874             5.0000
         -35490.52          1280.4433           110.5874             5.0000
         -35318.59          1271.4325           110.5874             5.0000
         -35146.65          1262.4217           110.5874             5.0000
         -34974.71          1253.4108           110.5874             5.0000
         -34802.78          1244.4000           110.5874             5.0000
         -34630.84          1235.3892           110.5874             5.0000
         -34458.90          1226.3784           110.5874             5.0000
         -34286.97          1217.3676           110.5874             5.0000
         -34115.03          1208.3567           110.5874             5.0000
         -33943.09          1199.3459           110.5874             5.0000
         -33771.15          1190.3351           110.5874             5.0000
         -33599.22          1181.3243           110.5874             5.0000
         -33427.28          1172.3134           110.5874             5.0000
         -33255.34          1163.3026           110.5874             5.0000
         -33083.41          1154.2918           110.5874             5.0000
         -32911.47          1145.2810           110.5874             5.0000
         -32739.53          1136.2702           110.5874             5.0000
         -32567.60          1127.2593           110.5874             5.0000
         -32395.66          1118.2485           110.5874             5.0000
         -32223.72          1109.2377           110.5874             5.0000
         -32051.79          1100.2269           110.5874             5.0000
