!          P3 (Pa)           P4 (Pa)           P7 (Pa)            T3 (K)            T4 (K)            T5 (K)         W3 (kg/s)        
 1338328.389036217   1294656.89909915    83191.687379075      650.254886073     1167.982910241      592.780259259       14.293261747
 1331678.394550842  1288232.265450338    83151.591094458      649.444265405      1166.84313119       592.90956123       14.229744004
 1324983.975973744  1281765.637686267    83111.411529353      648.624397038     1165.714777624      593.057302089       14.165617623
 1318538.885525505  1275539.708777061    83072.871210787      647.833183945     1164.623312935      593.200574721       14.103852445
 1312230.303852624  1269443.979857684    83035.209849645      647.056562962      1163.50972881      593.311811056       14.043624384
 1305828.299009313  1263258.026501396    82997.127238828      646.265292767     1162.376956125      593.426456954       13.982461941
 1299473.389951021  1257116.814026525    82959.445112873      645.479068866     1161.232552634      593.531319918       13.921814574
 1293015.787290993  1250876.937008542    82921.316232333      644.676776716     1160.080424729      593.649628348       13.860058111
 1286831.737887576  1244901.403820083    82884.940518962       643.90627355     1158.975112535       593.76594177       13.800871879
 1280182.212677195   1238475.43315435    82845.958300847      643.076566621     1157.768637276      593.883760436       13.737278074
 1273780.272467412  1232288.641754212    82808.572566874      642.275506829     1156.602457081      593.998824509       13.676017259
 1267294.602386601  1226021.573883234    82770.863590095      641.460421642     1155.433504488       594.12857329       13.613814787
 1260850.019627591   1219793.47293698    82733.519787316       640.64937232      1154.25179535       594.24878981       13.552066695
 1254401.991767668  1213562.058566028     82696.30347891      639.835402666     1153.067049908      594.372327348        13.49023624
 1247763.515491394  1207146.905213622      82658.1504504      638.994266138     1151.851933342      594.507783544       13.426484288
 1241283.723133319  1200884.760066146    82621.050467311      638.171250104     1150.654831487      594.637676602       13.364257378
 1234607.030344486  1194432.629152699    82582.987247091      637.320045265     1149.425724179      594.779806096       13.300044653
 1228136.667557643   1188179.70949443    82546.246185553      636.492827583     1148.227314721       594.91786362       13.237793743
 1221413.755610494  1181682.865635527    82508.232349334      635.630340078     1146.982492862      595.067084074       13.173041192
 1215032.247516606  1175516.181056299    82472.304005325      634.808652245     1145.803915415       595.21605798       13.111492967
 1208229.941632048  1168941.652484074    82434.132704067      633.931849449     1144.514052719      595.357857771       13.046015165
 1176369.930515698  1138081.328620955    82255.735826535      629.897509333     1136.705147742       594.89592216        12.74866107
 1170094.125008737  1132018.968432054    82221.463381368      629.084972633     1135.602699862      595.111249588       12.687305636
 1209195.853793856  1169936.525412829    82441.228812882       633.96052167     1146.244264042      596.385521824       13.046122729
 1279646.299565562  1238252.790250471    82851.333850043      642.486082992     1164.671987057      598.598301998       13.689010071
  423875.967714418   408060.882620677    79131.957778021       468.44112925      754.196635947      481.381024389        5.703224446
  423188.236894962   407400.984991949    79198.256728971      468.135353353      753.834854586      481.393868894        5.695438311
  499488.930743191   481316.120934909    79495.066769795      492.420399844       810.40863795      502.926697278        6.472898035
  596878.331127448   576046.648851124    79888.495049223       521.32155218      890.528102641      535.483172357        7.362834647
  621669.647299461   600198.464605099    80060.938235771      528.115213598      910.625798341      543.944999722        7.579425446
  576947.995118927   556625.816491517    79996.913290633      515.466174707      873.271051826       528.48846734        7.190286408
  577428.328421187   557087.858259391    80085.928652912      515.526701093      873.309669168      528.546560684        7.196092945
  577921.055063216   557561.962282151    80175.063837513       515.59072425      873.358353882      528.608752035        7.202010178
  578706.047335111   558322.140087819    80265.244457991      515.742765997      873.718799882      528.817267085        7.210227438
  579080.345528835   558680.931431028    80354.152041992       515.77227438      873.668502538      528.839270271        7.215095309
  579460.771001472    559047.21057876    80443.172038343      515.807007447      873.692546506      528.911226912        7.219723903
   580271.03227377   559830.456271828     80533.66044941      515.962337043      874.003180087      529.079779617        7.228460612
  580511.176420399   560058.623892992    80622.369735018      515.952879391      873.841338337      529.056549238        7.232140258
  580825.387576609   560360.432937042    80711.413331211      515.968269525      873.810239841      529.106191885        7.236182318
  581268.733747567    560786.43587129    80800.944948765      516.017364376      873.816450482      529.151223518        7.241665686
  582202.920626096   561690.313349458    80892.154852002      516.207795224      874.227517904      529.360480981         7.25150503
  582609.707369258   562082.247550702    80981.739433005      516.249611711      874.272302011      529.440944317        7.256369744
  583103.974506838   562557.814178343    81071.676250432      516.313031197      874.319598966       529.50264899        7.262306989
  584303.903547412   563720.404617537    81163.991282449      516.579097779        874.9473419      529.799860208        7.274504033
  584021.205660479   563441.056438744    81251.570547301      516.422573495      874.424304357      529.649999766        7.273254233
  584279.133968424   563686.520121751    81340.978880214       516.41784681      874.276786194      529.632776879        7.277096168
  584847.186897778   564233.907746459    81431.476130153      516.502110317      874.383887635      529.718770019        7.283690847
  585188.926092288       564562.50741    81521.330521728       516.52480286      874.374592958       529.77744402        7.287980181
  585704.880265183   565059.166929213    81611.818890726      516.593926002      874.438482804      529.845949143        7.294113709
  586287.717726374   565620.936080431    81702.604836097       516.68209916      874.556832778      529.936517325        7.300841585
  586639.929576776    565959.72791145    81792.734635235      516.707578145      874.555794551      529.998597444        7.305224861
  587175.158136262   566475.140522538    81883.526703916      516.781915007      874.634680222       530.07320073        7.311531409
  587778.872444648   567057.221817766    81974.621542166      516.875713053      874.769156921      530.170313592        7.318446553
  588122.699026362   567387.846449192    82064.965938207      516.898573657      874.760917577      530.229536553        7.322756435
  588664.391587374   567909.540343995     82156.02054044      516.974439375      874.844257767      530.305965568        7.329122309
  589123.671086974   568352.559398804    82246.901045651      517.030108195      874.929853396       530.40320342        7.334457549
  589659.302010707   568868.344967547    82338.097296203      517.104029538      875.007710446      530.477428767        7.340770824
  590268.843668868   569456.079040538    82429.613929783      517.198892491      875.145315138      530.575829815        7.347740885
  590860.767251155   570028.222695748    82521.166809767      517.292019215      875.337908179      530.716390565        7.354254533
  591149.073362977   570303.223779432    82611.803650401      517.295214063      875.214190358      530.709100435        7.358374471
  591785.648688172    570917.26263416    82703.650288556      517.397403973      875.372728575      530.815979071        7.365586467
    592045.5452781   571166.172595575    82794.370162251      517.395831388      875.295631641      530.847522846        7.369153933
  592930.250470267    572021.75634304    82887.182403865      517.568237282      875.654247145      531.035298974        7.378569677
  593830.403064046   572892.374987668    82980.125985241      517.744711965      876.024525198      531.227825247        7.388122312
